Gen,water_solubility,nÎ”L,f_max,Tanimoto_coeff
1,1.559,380.647,0.255,0.228434453
2,2.381,511.037,0.332,0.239392147
3,3.281,558.479,0.34,0.273097408
4,3.616,731.181,0.366,0.282645699
5,3.742,838.398,0.375,0.298636671
6,6.432,815.218,0.372,0.326973982
7,7.031,902.97,0.385,0.334533744
8,11.138,839.743,0.413,0.344830321
9,12.533,1028.566,0.406,0.335380364
10,16.36,1030.937,0.415,0.337417709
11,16.671,1115.224,0.418,0.33107964
12,17.722,1078.536,0.421,0.334812624
13,15.732,1155.981,0.432,0.326621602
14,16.528,1153.923,0.435,0.342276355
15,17.567,1283.718,0.436,0.338474547
16,19.644,1202.332,0.455,0.349951413
17,28.645,1222.515,0.451,0.344879443
18,32.479,1175.035,0.462,0.349043093
19,30.549,1234.283,0.465,0.344898041
20,30.717,1322.245,0.454,0.351018454
21,30.668,1342.608,0.447,0.348871591
22,34.058,1338.407,0.441,0.352869268
23,29.127,1455.335,0.441,0.357406053
24,29.152,1463.516,0.441,0.386257416
25,31.272,1444.52,0.443,0.397538415
26,31.998,1412.878,0.443,0.389393239
27,31.654,1427.794,0.442,0.392832647
28,33.25,1460.843,0.449,0.392129421
29,34.293,1414.27,0.45,0.385312613
30,38.985,1313.081,0.454,0.383297193
31,39.343,1290.191,0.455,0.390126404
32,39.343,1290.191,0.455,0.400187444
33,39.343,1290.191,0.455,0.400187444
34,39.343,1290.191,0.455,0.400187444
35,39.343,1290.191,0.455,0.400187444
36,39.259,1290.329,0.456,0.400187444
37,39.259,1290.329,0.456,0.400187444
38,39.259,1290.329,0.456,0.400187444
39,39.259,1290.329,0.456,0.400187444
40,40.107,1271.466,0.46,0.400187444
41,40.107,1271.466,0.46,0.393907796
42,40.107,1271.466,0.46,0.393907796
43,40.107,1271.466,0.46,0.393907796
44,41.224,1270.164,0.456,0.393907796
45,43.445,1250.96,0.46,0.397522644
46,43.445,1250.96,0.46,0.397455747
47,44.238,1232.379,0.46,0.397455747
48,43.309,1244.791,0.459,0.404474644
49,45.829,1221.431,0.461,0.408384611
50,46.263,1196.543,0.468,0.403345089
51,46.263,1196.543,0.468,0.40566843
52,46.761,1179.596,0.472,0.40566843
53,46.761,1179.596,0.472,0.397370206
54,46.761,1179.596,0.472,0.397370206
55,46.761,1179.596,0.472,0.397370206
56,46.761,1179.596,0.472,0.397370206
57,46.761,1179.596,0.472,0.397370206
58,46.761,1179.596,0.472,0.397370206
59,46.761,1179.596,0.472,0.397370206
60,46.761,1179.596,0.472,0.397370206
61,46.761,1179.596,0.472,0.397370206
62,46.761,1179.596,0.472,0.397370206
63,46.761,1179.596,0.472,0.397370206
64,46.761,1179.596,0.472,0.397370206
65,46.761,1179.596,0.472,0.397370206
66,46.761,1179.596,0.472,0.397370206
67,46.761,1179.596,0.472,0.397370206
68,46.761,1179.596,0.472,0.397370206
69,46.761,1179.596,0.472,0.397370206
70,46.761,1179.596,0.472,0.397370206
71,46.764,1205.335,0.473,0.397370206
72,46.962,1209.774,0.474,0.399607814
73,53.039,1155.322,0.484,0.401051364
74,53.039,1155.322,0.484,0.397589171
75,52.006,1159.23,0.484,0.397589171
76,52.006,1159.23,0.484,0.400853499
77,52.006,1159.23,0.484,0.400853499
78,52.006,1159.23,0.484,0.400853499
79,52.006,1159.23,0.484,0.400853499
80,52.006,1159.231,0.484,0.400853499
81,52.006,1159.231,0.484,0.400853499
82,50.581,1163.496,0.487,0.400853499
83,50.581,1163.496,0.487,0.405466376
84,50.625,1164.667,0.487,0.405466376
85,50.625,1164.667,0.487,0.403312844
86,50.625,1164.667,0.487,0.403312844
87,50.235,1175.785,0.483,0.403312844
88,50.235,1175.785,0.483,0.410619821
